ClientID,ClientName,PriorityLevel,RequestedTaskIDs,GroupTag,AttributesJSON
C001,Acme Corporation,5,"T001,T002,T003",Enterprise,"{""budget"": 500000, ""deadline"": ""2024-Q2"", ""contact"": ""john.doe@acme.com""}"
C002,TechStart Inc,4,"T004,T005",Startup,"{""budget"": 75000, ""agile"": true, ""team_size"": 12}"
C003,Global Dynamics,3,"T001,T006,T007",Enterprise,"{""budget"": 300000, ""compliance"": ""SOX"", ""regions"": [""US"", ""EU""]}"
C004,Local Bakery,2,"T008",SMB,"{""budget"": 15000, ""seasonal"": true}"
C005,MegaCorp Industries,5,"T002,T009,T010,T011",Enterprise,"{""budget"": 1000000, ""priority_projects"": [""digital_transformation"", ""ai_initiative""]}"
C006,Innovation Labs,4,"T012,T013",Research,"{""budget"": 200000, ""experimental"": true, ""timeline"": ""flexible""}"
C007,Healthcare Plus,5,"T014,T015,T016",Healthcare,"{""budget"": 400000, ""compliance"": ""HIPAA"", ""critical"": true}"
C008,EduTech Solutions,3,"T017,T018",Education,"{""budget"": 120000, ""student_count"": 50000}"
C009,FinanceFirst,4,"T019,T020,T001",Financial,"{""budget"": 350000, ""regulatory"": ""SEC"", ""risk_level"": ""high""}"
C010,RetailChain,2,"T021,T022",Retail,"{""budget"": 80000, ""stores"": 150, ""seasonal_peaks"": true}"
C011,CloudNative Co,5,"T023,T024,T025",Technology,"{""budget"": 600000, ""cloud_first"": true, ""microservices"": true}"
C012,ManufacturingPro,3,"T026,T027",Manufacturing,"{""budget"": 250000, ""automation"": true, ""safety_critical"": true}"
C013,MediaGroup,4,"T028,T029,T030",Media,"{""budget"": 180000, ""content_volume"": ""high"", ""real_time"": true}"
C014,GreenEnergy Corp,5,"T031,T032",Energy,"{""budget"": 800000, ""sustainability"": true, ""carbon_neutral"": true}"
C015,LogisticsMaster,3,"T033,T034,T035",Logistics,"{""budget"": 220000, ""global_shipping"": true, ""tracking"": ""real_time""}"
C016,Duplicate Test,1,"T999",TestGroup,"{""test"": true}"
C017,Invalid JSON Client,2,"T001",TestGroup,"invalid json here"
C018,Missing Priority Client,,"T002,T003",TestGroup,"{""note"": ""priority missing""}"
C019,Invalid Task Refs,4,"T999,T888,T777",TestGroup,"{""invalid_refs"": true}"
C020,Circular Ref A,3,"T036,T037",CircularTest,"{""circular"": ""A""}"
